Designator,Mid X,Mid Y,Rotation,Layer
J7,9.89,108.4225,0.0,bottom
J8,-1.58,108.4225,0.0,bottom
J9,-13.05,108.4225,0.0,bottom
L1,6.3725,31.47,270.0,bottom
L2,-29.07,24.11,180.0,top
L3,107.17,77.6,90.0,top
L4,79.555,77.71,90.0,top
L5,55.695,77.34,90.0,top
L6,55.03,42.3775,270.0,top
L7,80.245,43.56,270.0,top
L8,107.05,43.47,270.0,top
R1,17.6,13.5,0.0,top
R10,19.9025,38.68,270.0,bottom
R100,139.781428,30.28,180.0,bottom
R101,124.341428,26.94,90.0,bottom
R102,122.121428,26.96,90.0,bottom
R11,21.8925,38.68,270.0,bottom
R12,23.8825,38.68,270.0,bottom
R13,22.53,10.25,0.0,top
R14,19.47,10.25,180.0,top
R15,37.665,62.425,0.0,top
R16,37.645,64.495,180.0,top
R17,20.745,61.625,0.0,top
R18,20.775,59.555,180.0,top
R19,26.505,69.585,270.0,top
R2,14.44,13.52,180.0,top
R20,37.635,60.235,0.0,top
R21,37.595,58.135,180.0,top
R22,-30.73,17.69,0.0,top
R23,-26.9675,17.67,0.0,top
R24,29.295,52.635,90.0,top
R25,27.035,52.695,90.0,top
R26,-33.8375,29.35,90.0,top
R27,28.645,69.605,270.0,top
R28,-22.9075,21.71,180.0,top
R29,31.525,52.675,90.0,top
R3,-12.99,25.54,0.0,top
R30,26.57,13.5,0.0,top
R31,23.44,13.5,180.0,top
R32,93.325,81.81,0.0,top
R33,93.23,78.28,0.0,top
R34,30.55,10.25,0.0,top
R35,27.47,10.25,180.0,top
R36,66.975,80.88,0.0,top
R37,66.975,77.93,0.0,top
R38,43.0475,79.52,0.0,top
R39,43.0475,76.57,0.0,top
R4,-12.99,23.55,0.0,top
R40,68.54,38.5775,180.0,top
R41,68.54,41.5275,180.0,top
R42,92.91,41.03,180.0,top
R43,92.91,43.98,180.0,top
R44,120.185,41.1,180.0,top
R45,120.185,44.05,180.0,top
R46,121.92,88.94825,180.0,bottom
R47,229.754,42.88925,180.0,bottom
R48,229.8315,45.87925,180.0,bottom
R49,213.7925,41.08,180.0,bottom
R5,-12.99,21.56,0.0,top
R50,168.47,89.97,180.0,bottom
R51,191.07,41.44,180.0,bottom
R52,190.29,87.24,180.0,bottom
R53,169.5,44.58,180.0,bottom
R54,212.65,87.55,180.0,bottom
R55,147.68,41.14,180.0,bottom
R56,147.02,67.73,180.0,bottom
R57,214.27,64.1,180.0,bottom
R58,169.09,64.74,180.0,bottom
R59,190.96,64.19,180.0,bottom
R6,-12.99,19.57,0.0,top
R60,170.3225,85.21,0.0,bottom
R62,207.005515,91.527735,180.0,bottom
R64,228.821515,88.877735,180.0,bottom
R66,147.22,62.9,0.0,bottom
R68,185.575515,68.741735,180.0,bottom
R70,207.067515,65.987251,180.0,bottom
R72,217.28,56.33,0.0,bottom
